join_key,district_name,mean,se,ci_low,ci_high,n_unweighted
101,Chitipa,0.3758363128037499,0.026524160208922138,0.3238489587942625,0.4278236668132373,403
102,Karonga,0.3715096673605058,0.02230791984262002,0.32778614446897053,0.41523319025204103,420
103,Nkhata Bay,0.3987856619388126,0.01898700904009193,0.3615711242202324,0.4360001996573928,441
104,Rumphi,0.3239270140102949,0.02132727269537844,0.28212555952735313,0.36572846849323665,378
105,Mzimba,0.3833827578959961,0.02338274210126751,0.33755258337751176,0.4292129324144804,284
106,Likoma,0.21889164131771005,0.025332645209735632,0.16923965670662822,0.2685436259287919,256
107,Mzuzu City,0.23213745687854098,0.033710963254134,0.16606396890043834,0.2982109448566436,106
201,Kasungu,0.416840977061387,0.02174278378460533,0.3742251208435606,0.45945683327921344,397
202,Nkhotakota,0.4016994286897467,0.026859195972465232,0.3490554045837148,0.45434345279577854,406
203,Ntchisi,0.41649326073493537,0.02701631742873545,0.3635412785746139,0.46944524289525685,392
204,Dowa,0.3686857786575758,0.021818058084219365,0.32592238481250585,0.41144917250264573,386
205,Salima,0.4615325277055513,0.025628239316630653,0.41130117864495525,0.5117638767661474,400
206,Lilongwe Rural,0.5190706299272373,0.027855800977282633,0.4644732600117633,0.5736679998427112,293
207,Mchinji,0.4545181854064747,0.0197819005997942,0.41574566023087806,0.49329071058207136,381
208,Dedza,0.49392056472400875,0.022221887298954895,0.45036566561805713,0.5374754638299604,409
209,Ntcheu,0.45471572504514013,0.020418151150227597,0.41469614879069405,0.4947353012995862,390
210,Lilongwe City,0.30979024096618124,0.03830911725171883,0.23470437115281234,0.38487611077955014,170
301,Mangochi,0.578685272550115,0.02397662822827718,0.5316910812226918,0.6256794638775383,440
302,Machinga,0.44681552637940747,0.026177194269965898,0.3955082256102743,0.4981228271485406,418
303,Zomba Rural,0.40150140897885706,0.022664816487569635,0.35707836866322057,0.44592444929449354,357
304,Chiradzulu,0.3505772309837619,0.01811884770540611,0.31506428948116594,0.3860901724863579,381
305,Blantyre Rural,0.3706204740216822,0.03775773877620917,0.2966153060203122,0.44462564202305216,188
306,Mwanza,0.375119067599682,0.022902827228674146,0.33022952623148066,0.42000860896788333,396
307,Thyolo,0.3945753266956485,0.022152595559017257,0.35115623939997465,0.43799441399132233,411
308,Mulanje,0.41719127293791025,0.020202021517097456,0.37759531076439923,0.4567872351114213,430
309,Phalombe,0.4081062971524361,0.021422548923920662,0.36611810126155164,0.4500944930433206,387
310,Chikwawa,0.42350815441264106,0.02611002458546842,0.37233250622512293,0.4746838026001592,384
311,Nsanje,0.45465518923810494,0.022063126497460724,0.4114114613030819,0.49789891717312795,386
312,Balaka,0.4094553897906109,0.026269308474964847,0.3579675451796798,0.460943234401542,393
313,Neno,0.38065952979383094,0.028446629164221953,0.32490413663195594,0.43641492295570594,368
314,Zomba City,0.22811783347891723,0.03441081027402073,0.16067264534183662,0.29556302161599785,69
315,Blantyre City,0.28880240326068873,0.022706244670371294,0.244298163706761,0.33330664281461647,268
