join_key,district_name,mean,se,ci_low,ci_high,n_unweighted
101,Chitipa,0.31820036836504356,0.030458119456850234,0.2585024542296171,0.37789828250047003,403
102,Karonga,0.31935614539110335,0.025098603559876434,0.27016288241374553,0.3685494083684612,420
103,Nkhata Bay,0.35129438235042865,0.023304028771990747,0.30561848595732677,0.3969702787435305,441
104,Rumphi,0.264047053987203,0.018423674251615826,0.227936652454036,0.30015745552037004,378
105,Mzimba,0.365355671473802,0.026362928534570375,0.313684331546044,0.41702701140155995,284
106,Likoma,0.19110906090998586,0.031476746406743236,0.1294146379527691,0.2528034838672026,256
107,Mzuzu City,0.15752097973988138,0.03208217828088002,0.09463991030935655,0.22040204917040623,106
201,Kasungu,0.3915735297261051,0.027682093848482144,0.3373166257830801,0.4458304336691301,397
202,Nkhotakota,0.3551096952584955,0.03348042482957802,0.2894880625925226,0.42073132792446843,406
203,Ntchisi,0.4265796810247105,0.024584267348527682,0.37839451702159627,0.47476484502782473,392
204,Dowa,0.3233406348721089,0.024949371829942384,0.2744398660854218,0.372241403658796,386
205,Salima,0.42356706602997074,0.027904580410330313,0.36887408842572333,0.47826004363421815,400
206,Lilongwe Rural,0.47722524019046675,0.042778233284290694,0.393379902953257,0.5610705774276765,293
207,Mchinji,0.40540908801976416,0.021424155424418667,0.36341774338790356,0.44740043265162477,381
208,Dedza,0.5076719800820734,0.028838195910092082,0.4511491160982929,0.5641948440658539,409
209,Ntcheu,0.42310860274404294,0.02597694255751222,0.37219379533131897,0.4740234101567669,390
210,Lilongwe City,0.2552735485598284,0.0345347760657026,0.18758538747105133,0.3229617096486055,170
301,Mangochi,0.5985041478535509,0.03343141343705349,0.532978577516926,0.6640297181901758,440
302,Machinga,0.39302506672880516,0.02921400813479799,0.3357656107846011,0.4502845226730092,418
303,Zomba Rural,0.3568517176599624,0.029786404735728633,0.2984703643779343,0.41523307094199047,357
304,Chiradzulu,0.31137056738407026,0.02086511560758601,0.27047494079320167,0.35226619397493886,381
305,Blantyre Rural,0.34002829056139466,0.044421902246629785,0.2529613621580003,0.427095218964789,188
306,Mwanza,0.34355391845094857,0.028428622810860595,0.28783381774166183,0.3992740191602353,396
307,Thyolo,0.3305759560127527,0.020079090996037472,0.29122093766051926,0.3699309743649861,411
308,Mulanje,0.3188830319947418,0.03049023726411446,0.25912216695707746,0.3786438970324061,430
309,Phalombe,0.36647258819064704,0.024529858936505274,0.3183940646750967,0.4145511117061974,387
310,Chikwawa,0.3373833224762783,0.02810094120215427,0.28230547772005593,0.39246116723250063,384
311,Nsanje,0.34241877556353645,0.0254160378466687,0.2926033413840658,0.3922342097430071,386
312,Balaka,0.40598846032199626,0.03212364084172017,0.34302612427222473,0.4689507963717678,393
313,Neno,0.3223553274334184,0.02878442298588181,0.26593785838109,0.37877279648574674,368
314,Zomba City,0.1803461689963356,0.03587933459154655,0.11002267319690437,0.2506696647957668,69
315,Blantyre City,0.26342474492610934,0.024625145970847948,0.21515945882324736,0.3116900310289713,268
