outcome,universe,n_unweighted,mean,se,ci_low,ci_high
school_att,all_children,17824,0.9280235855940739,0.0038430521785729273,0.9204913417333628,0.9355558294547851
over_age,currently_attending_with_age_and_grade,14965,0.7556949427037866,0.005577923290606786,0.7447624139456701,0.766627471461903
