join_key,district_name,mean,se,ci_low,ci_high,n_unweighted
101,Chitipa,0.3667021186491794,0.027492304561266088,0.3128172017090979,0.4205870355892609,403
102,Karonga,0.3859848672154042,0.027974839625840443,0.3311541815487569,0.4408155528820515,420
103,Nkhata Bay,0.39124575153547964,0.026722649766636623,0.3388693579928719,0.4436221450780874,441
104,Rumphi,0.3215369587632994,0.023960021156099805,0.2745753172973438,0.368498600229255,378
105,Mzimba,0.39060654889449603,0.029887438249899687,0.33202716992469267,0.4491859278642994,284
106,Likoma,0.21368325887852874,0.03343494355360763,0.1481507695134578,0.2792157482435997,256
107,Mzuzu City,0.2281028888149694,0.03622258782702268,0.15710661667400494,0.29909916095593386,106
201,Kasungu,0.42877460791930855,0.025363799608291996,0.3790615606870562,0.4784876551515609,397
202,Nkhotakota,0.4105923041099979,0.0321392734031839,0.3475993282397575,0.47358527998023836,406
203,Ntchisi,0.41130775909333694,0.030619019290596024,0.3512944812837687,0.47132103690290517,392
204,Dowa,0.35944774423626913,0.024976933779889274,0.3104929540276862,0.4084025344448521,386
205,Salima,0.484613375385888,0.026906498348999906,0.43187663862184816,0.5373501121499278,400
206,Lilongwe Rural,0.5264724634516479,0.03254849803456133,0.4626774073039077,0.5902675195993881,293
207,Mchinji,0.4522413941810206,0.02506405998099656,0.40311583661826733,0.5013669517437739,381
208,Dedza,0.49329554438199213,0.03076978843681401,0.43298675904583667,0.5536043297181475,409
209,Ntcheu,0.4725060103397615,0.026250576428347723,0.42105488054019996,0.523957140139323,390
210,Lilongwe City,0.27880475045695424,0.03966813040654663,0.20105521486012284,0.35655428605378564,170
301,Mangochi,0.63277458398006,0.032500568658931035,0.5690734694085552,0.6964756985515649,440
302,Machinga,0.4178252177540609,0.02857050184659562,0.3618270341347335,0.4738234013733883,418
303,Zomba Rural,0.3953681050757073,0.028432148526680794,0.33964109396341297,0.45109511618800163,357
304,Chiradzulu,0.33264498604201953,0.02159882623655401,0.2903112866183737,0.3749786854656654,381
305,Blantyre Rural,0.36945476117957243,0.044038622259523104,0.2831390615509072,0.4557704608082377,188
306,Mwanza,0.366895572437937,0.027261645320217253,0.31346274761031123,0.4203283972655628,396
307,Thyolo,0.4301670117507742,0.029891138638360876,0.3715803800195869,0.48875364348196154,411
308,Mulanje,0.45130453099670204,0.024950442265982493,0.40240166415537637,0.5002073978380277,430
309,Phalombe,0.39810127029583486,0.02627217934835715,0.34660779877305486,0.44959474181861486,387
310,Chikwawa,0.4142602184378675,0.025281612487083546,0.36470825796318374,0.4638121789125512,384
311,Nsanje,0.5157285752166721,0.029000537761590978,0.4588875212039538,0.5725696292293905,386
312,Balaka,0.4053472550056925,0.03144331762993956,0.343718352451011,0.46697615756037403,393
313,Neno,0.40957338199074267,0.03428960664074176,0.3423657529748888,0.47678101100659653,368
314,Zomba City,0.24300812434705205,0.05056850707575315,0.14389385047857586,0.34212239821552826,69
315,Blantyre City,0.29278753189354495,0.03106928848638285,0.23189172646023457,0.3536833373268553,268
